location,code,material,url
Troup Head RSPB,N03,Twigs,https://3hl001.github.io/material-availability-atlas/#material/troup-head/n03
Troup Head RSPB,P03,White Plastic Film,https://3hl001.github.io/material-availability-atlas/#material/troup-head/p03
Burghead,P02,Plastic Twine,https://3hl001.github.io/material-availability-atlas/#material/burghead/p02
Gardenstown,S03,Plastic Food Packaging,https://3hl001.github.io/material-availability-atlas/#material/gardenstown/s03
Gardenstown,R01,Delivery Packaging,https://3hl001.github.io/material-availability-atlas/#material/gardenstown/r01
Gardenstown,R02,Plastic Bag,https://3hl001.github.io/material-availability-atlas/#material/gardenstown/r02
Findhorn,D01,Sunscreen Bottle Cap,https://3hl001.github.io/material-availability-atlas/#material/findhorn/d01
Findhorn,S01,PS Plastic Spoon,https://3hl001.github.io/material-availability-atlas/#material/findhorn/s01
Findhorn,S02,Digestive Biscuit Packaging,https://3hl001.github.io/material-availability-atlas/#material/findhorn/s02
Findhorn,N01,Brown Seaweed,https://3hl001.github.io/material-availability-atlas/#material/findhorn/n01
Findhorn,N02,Whelk Egg Case,https://3hl001.github.io/material-availability-atlas/#material/findhorn/n02
Findhorn,P01,Fishing Rope,https://3hl001.github.io/material-availability-atlas/#material/findhorn/p01
